file_name,line_before,line_after,reference,project,commit_link
.travis.yml,- '5',,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
.travis.yml,- '4',## Heads up!,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
.verb.md,,"[Please update][update] to version 2.0.1 or later, a critical bug was fixed in that version.",8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
.verb.md,,[update]: https://gist.github.com/jonschlinkert/9a62534c4f8bc76aee6058caa3f05fd6,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,# mixin-deep [![NPM version](https://img.shields.io/npm/v/mixin-deep.svg?style=flat)](https://www.npmjs.com/package/mixin-deep) [![NPM monthly downloads](https://img.shields.io/npm/dm/mixin-deep.svg?style=flat)](https://npmjs.org/package/mixin-deep) [![NPM total downloads](https://img.shields.io/npm/dt/mixin-deep.svg?style=flat)](https://npmjs.org/package/mixin-deep) [![Linux Build Status](https://img.shields.io/travis/jonschlinkert/mixin-deep.svg?style=flat&label=Travis)](https://travis-ci.org/jonschlinkert/mixin-deep),# mixin-deep [![Donate](https://img.shields.io/badge/Donate-PayPal-green.svg)](https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=W8YFZ425KND68) [![NPM version](https://img.shields.io/npm/v/mixin-deep.svg?style=flat)](https://www.npmjs.com/package/mixin-deep) [![NPM monthly downloads](https://img.shields.io/npm/dm/mixin-deep.svg?style=flat)](https://npmjs.org/package/mixin-deep) [![NPM total downloads](https://img.shields.io/npm/dt/mixin-deep.svg?style=flat)](https://npmjs.org/package/mixin-deep) [![Linux Build Status](https://img.shields.io/travis/jonschlinkert/mixin-deep.svg?style=flat&label=Travis)](https://travis-ci.org/jonschlinkert/mixin-deep),8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,,## Heads up!,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,,"[Please update](https://gist.github.com/jonschlinkert/9a62534c4f8bc76aee6058caa3f05fd6) to version 2.0.1 or later, a critical bug was fixed in that version.",8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,,,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,| **Commits** | **Contributor** |,,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,| --- | --- |,,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
README.md,| 26 | [jonschlinkert](https://github.com/jonschlinkert) |,,8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9,mixin-deep,https://github.com/jonschlinkert/mixin-deep/commit/8f464c8ce9761a8c9c2b3457eaeee9d404fa7af9
